ID,CLASS
210,1
211,1
212,0
213,0
214,1
215,0
216,1
217,0
218,1
219,0
220,0
221,1
222,0
223,0
224,0
225,0
226,0
227,0
228,1
229,1
230,1
231,1
232,1
233,0
234,1
235,1
236,0
237,1
238,1
239,0
240,0
241,1
242,0
243,0
244,0
245,0
246,1
247,0
248,1
249,1
250,1
251,1
252,0
253,1
254,1
255,1
256,0
257,1
258,0
259,0
260,1
261,0
262,0
263,1
264,0
265,0
266,1
267,1
268,0
269,0
270,1
271,1
272,1
273,0
274,1
275,0
276,0
277,1
278,0
279,0
280,0
281,1
282,1
283,1
284,0
285,1
286,0
287,0
288,1
289,1
290,0
291,1
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,1
300,1
301,1
302,1
303,0
304,1
305,1
306,1
307,1
308,0
309,1
310,1
311,1
312,0
313,1
